id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	AC-like|AC-like	AC-like|MES-like	AC-like|NPC-like	AC-like|OPC-like	AC-like|macrophage	AC-like|microglial_cell	MES-like|AC-like	MES-like|MES-like	MES-like|NPC-like	MES-like|OPC-like	MES-like|macrophage	MES-like|microglial_cell	NPC-like|AC-like	NPC-like|MES-like	NPC-like|NPC-like	NPC-like|OPC-like	NPC-like|macrophage	NPC-like|microglial_cell	OPC-like|AC-like	OPC-like|MES-like	OPC-like|NPC-like	OPC-like|OPC-like	OPC-like|macrophage	OPC-like|microglial_cell	macrophage|AC-like	macrophage|MES-like	macrophage|NPC-like	macrophage|OPC-like	macrophage|macrophage	macrophage|microglial_cell	microglial_cell|AC-like	microglial_cell|MES-like	microglial_cell|NPC-like	microglial_cell|OPC-like	microglial_cell|macrophage	microglial_cell|microglial_cell
CPI-SS03E7587E4	ADORA1_ENTPD1	simple:P30542	simple:P49961	ENSG00000163485	ENSG00000138185	False	True	False	curated	False	0.094	0.088	0.088	0.111	0.298	0.341	0.059	0.053	0.053	0.076	0.263	0.306	0.059	0.053	0.053	0.076	0.263	0.306	0.057	0.051	0.051	0.074	0.261	0.304	0.021	0.015	0.014	0.037	0.225	0.268	0.021	0.015	0.015	0.038	0.225	0.268
CPI-SS00581282E	C5_C5AR1	simple:P01031	simple:P21730	ENSG00000106804	ENSG00000197405	True	False	True	curated	False	0.03	0.029	0.022	0.076	0.433	0.303	0.024	0.022	0.016	0.07	0.427	0.297	0.031	0.029	0.023	0.077	0.434	0.304	0.04	0.038	0.031	0.085	0.442	0.312	0.023	0.022	0.015	0.069	0.426	0.296	0.02	0.018	0.012	0.065	0.422	0.292
CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	ENSG00000122861	ENSG00000011422	True	False	True	curated	False	0.108	0.161	0.102	0.13	0.736	0.588	0.069	0.123	0.063	0.091	0.697	0.549	0.056	0.11	0.05	0.079	0.684	0.536	0.105	0.159	0.099	0.128	0.733	0.586	0.248	0.301	0.242	0.27	0.876	0.728	0.144	0.197	0.138	0.166	0.772	0.624
CPI-SS0E5593D5C	BMP8B_PLAUR	simple:P34820	simple:Q03405	ENSG00000116985	ENSG00000011422	True	False	True	InnateDB-All	False	0.041	0.095	0.035	0.064	0.669	0.522	0.048	0.101	0.042	0.07	0.676	0.528	0.062	0.115	0.056	0.084	0.69	0.542	0.048	0.102	0.043	0.071	0.676	0.529	0.033	0.086	0.027	0.055	0.661	0.513	0.031	0.085	0.025	0.053	0.659	0.511
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	ENSG00000135744	ENSG00000144891	True	False	True	curated	False	0.51	0.509	0.508	0.509	0.507	0.507	0.318	0.317	0.316	0.317	0.315	0.315	0.161	0.16	0.159	0.16	0.158	0.158	0.344	0.343	0.342	0.343	0.341	0.341	0.044	0.044	0.043	0.044	0.041	0.041	0.01	0.009	0.008	0.009	0.007	0.007
CPI-SS0F21F1570	KNG1_BDKRB2	simple:P01042	simple:P30411	ENSG00000113889	ENSG00000168398	True	False	True	curated	False	0.002	0.004	0.002	0.001	0.0	0.0	0.005	0.006	0.004	0.004	0.003	0.0	0.002	0.004	0.002	0.001	0.0	0.0	0.01	0.011	0.009	0.009	0.008	0.0	0.003	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS075D9B9AD	KNG1_BDKRB1	simple:P01042	simple:P46663	ENSG00000113889	ENSG00000100739	True	False	True	curated	False	0.001	0.001	0.001	0.0	0.0	0.0	0.003	0.003	0.003	0.003	0.002	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.008	0.008	0.008	0.008	0.007	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BCCDFA7A	NAMPT_IL13RA2	simple:P43490	simple:Q14627	ENSG00000105835	ENSG00000123496	True	False	True	InnateDB-All	False	0.316	0.33	0.373	0.376	0.283	0.283	0.64	0.654	0.697	0.699	0.607	0.607	0.118	0.132	0.175	0.177	0.085	0.085	0.271	0.285	0.328	0.331	0.238	0.238	0.569	0.583	0.626	0.628	0.536	0.536	0.387	0.401	0.444	0.446	0.354	0.354
CPI-SS066FBE098	IL13_IL13RA2	simple:P35225	simple:Q14627	ENSG00000169194	ENSG00000123496	True	False	True	curated	False	0.034	0.049	0.091	0.094	0.001	0.001	0.034	0.049	0.091	0.094	0.001	0.001	0.034	0.048	0.091	0.093	0.001	0.001	0.034	0.049	0.091	0.094	0.001	0.001	0.034	0.048	0.091	0.094	0.001	0.001	0.034	0.048	0.091	0.093	0.001	0.001
CPI-SS0186F8AED	TNFSF9_IL13RA2	simple:P41273	simple:Q14627	ENSG00000125657	ENSG00000123496	True	False	True	InnateDB-All	False	0.036	0.05	0.093	0.095	0.003	0.003	0.035	0.049	0.092	0.094	0.002	0.002	0.035	0.049	0.092	0.094	0.002	0.002	0.039	0.053	0.096	0.098	0.006	0.006	0.073	0.087	0.13	0.133	0.04	0.04	0.108	0.122	0.164	0.167	0.075	0.075
CPI-SC02CD655EB	CALCB_RAMP1_complex	simple:P10092	complex:RAMP1_complex	ENSG00000175868		True	False	True	curated	False	0.042	0.053	0.137	0.09	0.01	0.003	0.043	0.054	0.138	0.09	0.011	0.003	0.048	0.059	0.143	0.095	0.016	0.008	0.042	0.053	0.137	0.089	0.01	0.002	0.041	0.052	0.136	0.089	0.009	0.002	0.041	0.052	0.136	0.088	0.009	0.001
CPI-SS012B216F6	PTHLH_PTH2R	simple:P12272	simple:P49190	ENSG00000087494	ENSG00000144407	True	False	True	curated	False	0.021	0.021	0.027	0.022	0.021	0.021	0.049	0.049	0.055	0.05	0.05	0.049	0.004	0.004	0.01	0.005	0.005	0.004	0.011	0.011	0.017	0.012	0.011	0.011	0.0	0.0	0.006	0.002	0.001	0.001	0.0	0.0	0.006	0.001	0.001	0.0
CPI-SS0483CE4ED	PTHLH_PTH1R	simple:P12272	simple:Q03431	ENSG00000087494	ENSG00000160801	True	False	True	curated	False	0.026	0.025	0.031	0.022	0.021	0.021	0.055	0.054	0.059	0.051	0.049	0.049	0.01	0.009	0.014	0.006	0.004	0.004	0.016	0.016	0.021	0.012	0.011	0.011	0.006	0.005	0.01	0.002	0.001	0.0	0.006	0.005	0.01	0.002	0.0	0.0
CPI-SC02DEB4893	IFNG_Type_II_IFNR	simple:P01579	complex:Type_II_IFNR	ENSG00000111537		True	False	True	curated	False	0.098	0.128	0.082	0.139	0.4	0.386	0.097	0.127	0.081	0.138	0.399	0.385	0.097	0.127	0.081	0.137	0.399	0.385	0.103	0.133	0.087	0.143	0.404	0.39	0.107	0.137	0.091	0.148	0.409	0.395	0.099	0.129	0.083	0.14	0.401	0.387
CPI-SS0C1F25516	CD8A_CEACAM5	simple:P01732	simple:P06731	ENSG00000153563	ENSG00000105388	True	True	False	curated	False	0.0	0.002	0.0	0.002	0.002	0.002	0.0	0.001	0.0	0.002	0.002	0.002	0.0	0.004	0.0	0.004	0.004	0.004	0.0	0.008	0.0	0.008	0.008	0.008	0.0	0.017	0.0	0.017	0.017	0.017	0.0	0.005	0.0	0.005	0.005	0.005
CPI-SS0A6D0C1BA	TF_TFR2	simple:P02787	simple:Q9UP52	ENSG00000091513	ENSG00000106327	True	False	True	curated	False	0.041	0.054	0.051	0.048	0.033	0.033	0.06	0.072	0.069	0.066	0.051	0.051	0.053	0.065	0.062	0.06	0.045	0.044	0.107	0.12	0.117	0.114	0.099	0.099	0.06	0.072	0.069	0.067	0.052	0.051	0.017	0.03	0.027	0.024	0.009	0.009
CPI-SS0291D3D2E	PROC_PROCR	simple:P04070	simple:Q9UNN8	ENSG00000115718	ENSG00000101000	True	False	True	curated	False	0.011	0.009	0.002	0.011	0.067	0.074	0.011	0.009	0.002	0.011	0.067	0.074	0.013	0.011	0.005	0.013	0.069	0.076	0.011	0.009	0.003	0.012	0.068	0.075	0.034	0.032	0.026	0.035	0.091	0.098	0.043	0.041	0.035	0.044	0.1	0.107
CPI-SS0073098F3	IL13_TMEM219	simple:P35225	simple:Q86XT9	ENSG00000169194	ENSG00000149932	True	False	True	IMEx,IntAct	False	0.269	0.252	0.262	0.228	0.444	0.434	0.269	0.252	0.262	0.228	0.444	0.434	0.269	0.252	0.262	0.227	0.443	0.434	0.269	0.252	0.262	0.228	0.444	0.434	0.269	0.252	0.262	0.227	0.443	0.434	0.269	0.252	0.262	0.227	0.443	0.434
CPI-SS099ACF7FB	IGFBP3_TMEM219	simple:P17936	simple:Q86XT9	ENSG00000146674	ENSG00000149932	True	False	True	curated	False	0.63	0.613	0.623	0.588	0.804	0.795	0.772	0.754	0.764	0.73	0.946	0.936	0.417	0.4	0.41	0.376	0.592	0.582	0.405	0.388	0.398	0.364	0.58	0.57	0.28	0.262	0.272	0.238	0.454	0.444	0.275	0.257	0.267	0.233	0.449	0.439
CPI-SS0431D2256	TNFSF9_TNFRSF9	simple:P41273	simple:Q07011	ENSG00000125657	ENSG00000049249	True	False	True	curated	False	0.002	0.003	0.002	0.003	0.004	0.003	0.001	0.002	0.001	0.002	0.004	0.002	0.001	0.002	0.001	0.002	0.004	0.002	0.005	0.006	0.005	0.006	0.008	0.006	0.04	0.04	0.04	0.04	0.042	0.04	0.074	0.075	0.074	0.074	0.076	0.075
CPI-SS047CD2E9F	TNFSF9_ADGRG5	simple:P41273	simple:Q8IZF4	ENSG00000125657	ENSG00000159618	True	False	True	InnateDB-All	False	0.002	0.002	0.005	0.002	0.009	0.012	0.001	0.001	0.004	0.001	0.008	0.011	0.001	0.001	0.004	0.001	0.008	0.011	0.005	0.005	0.008	0.005	0.012	0.015	0.039	0.039	0.043	0.04	0.046	0.049	0.074	0.074	0.077	0.074	0.081	0.084
CPI-SS00B1BEE64	CD2_CD58	simple:P06729	simple:P19256	ENSG00000116824	ENSG00000116815	False	True	False	curated	False	0.075	0.057	0.035	0.06	0.159	0.162	0.073	0.055	0.033	0.058	0.157	0.159	0.072	0.054	0.032	0.057	0.156	0.159	0.087	0.069	0.047	0.072	0.172	0.174	0.114	0.095	0.074	0.099	0.198	0.2	0.081	0.062	0.041	0.066	0.165	0.167
CPI-SS0B537DD3F	CEACAM5_CEACAM1	simple:P06731	simple:P13688	ENSG00000105388	ENSG00000079385	True	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.006	0.005	0.006	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.006	0.005	0.006	0.006	0.005	0.003	0.006	0.005	0.006	0.006	0.005	0.003	0.006	0.006	0.006	0.006
CPI-SS0AC66088D	CEACAM5_CD1D	simple:P06731	simple:P15813	ENSG00000105388	ENSG00000158473	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.004	0.049	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.004	0.049	0.024	0.001	0.001	0.001	0.004	0.049	0.024	0.001	0.001	0.001	0.004	0.049	0.024
CPI-SS06B1216BE	CRH_CRHR1	simple:P06850	simple:P34998	ENSG00000147571	ENSG00000120088	True	False	True	curated	False	0.005	0.005	0.005	0.006	0.004	0.004	0.002	0.002	0.003	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.003	0.003	0.001	0.001	0.002	0.002	0.003	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B01CF3AB	CSF1R_CSF1	simple:P07333	simple:P09603	ENSG00000182578	ENSG00000184371	True	True	False	curated	False	0.073	0.138	0.028	0.058	0.023	0.064	0.074	0.139	0.029	0.058	0.024	0.064	0.074	0.139	0.029	0.059	0.024	0.064	0.084	0.149	0.039	0.068	0.034	0.074	0.612	0.677	0.568	0.597	0.563	0.603	0.748	0.813	0.703	0.733	0.698	0.738
CPI-SS05BE83BC6	CSF1R_CSF3	simple:P07333	simple:P09919	ENSG00000182578	ENSG00000108342	True	True	False	guidetopharmacology.org	False	0.008	0.01	0.007	0.008	0.008	0.007	0.008	0.011	0.008	0.008	0.008	0.008	0.008	0.011	0.008	0.008	0.008	0.008	0.018	0.021	0.018	0.018	0.018	0.018	0.547	0.55	0.547	0.547	0.547	0.547	0.682	0.685	0.682	0.683	0.683	0.682
CPI-SS0DFA98A14	CSF1R_IL34	simple:P07333	simple:Q6ZMJ4	ENSG00000182578	ENSG00000157368	True	True	False	curated	False	0.012	0.012	0.009	0.011	0.007	0.007	0.012	0.013	0.01	0.011	0.008	0.008	0.012	0.013	0.01	0.012	0.008	0.008	0.022	0.023	0.02	0.022	0.018	0.018	0.551	0.551	0.548	0.55	0.547	0.547	0.687	0.687	0.684	0.686	0.682	0.682
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	ENSG00000134443	ENSG00000126010	True	False	True	curated	False	0.007	0.008	0.008	0.008	0.007	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.011	0.011	0.011	0.011	0.011	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS061A7E099	CD55_ADGRE5	simple:P08174	simple:P48960	ENSG00000196352	ENSG00000123146	True	True	True	curated	False	0.068	0.053	0.041	0.075	0.066	0.072	0.066	0.052	0.039	0.074	0.065	0.071	0.078	0.064	0.051	0.086	0.077	0.082	0.085	0.07	0.057	0.092	0.083	0.089	0.193	0.178	0.166	0.2	0.191	0.197	0.145	0.13	0.118	0.153	0.144	0.149
CPI-SS07F60834D	MET_HGF	simple:P08581	simple:P14210	ENSG00000105976	ENSG00000019991	True	True	False	curated	False	0.01	0.017	0.008	0.015	0.051	0.035	0.039	0.046	0.037	0.043	0.079	0.063	0.009	0.016	0.007	0.014	0.05	0.034	0.016	0.023	0.014	0.021	0.057	0.041	0.005	0.012	0.004	0.01	0.046	0.03	0.004	0.011	0.003	0.009	0.045	0.029
CPI-SS056FF4363	CD48_CD244	simple:P09326	simple:Q9BZW8	ENSG00000117091	ENSG00000122223	False	False	True	curated	False	0.003	0.003	0.003	0.004	0.011	0.006	0.002	0.002	0.002	0.003	0.009	0.004	0.002	0.002	0.002	0.003	0.009	0.005	0.016	0.015	0.015	0.016	0.023	0.018	0.217	0.216	0.216	0.217	0.224	0.219	0.106	0.105	0.105	0.106	0.113	0.108
CPI-SS0D954EA1C	PDGFRB_PDGFD	simple:P09619	simple:Q9GZP0	ENSG00000113721	ENSG00000170962	True	True	False	curated	False	0.061	0.042	0.019	0.028	0.017	0.016	0.06	0.041	0.018	0.027	0.016	0.015	0.052	0.033	0.01	0.019	0.008	0.007	0.058	0.039	0.016	0.025	0.014	0.013	0.051	0.031	0.008	0.018	0.007	0.005	0.046	0.027	0.004	0.013	0.002	0.001
CPI-CS061152023	PDGFR_complex_PDGFD	complex:PDGFR_complex	simple:Q9GZP0		ENSG00000170962	True	True	False	curated	False	0.061	0.042	0.019	0.028	0.017	0.016	0.06	0.041	0.018	0.027	0.016	0.015	0.052	0.033	0.01	0.019	0.008	0.007	0.058	0.039	0.016	0.025	0.014	0.013	0.051	0.031	0.008	0.018	0.007	0.005	0.046	0.027	0.004	0.013	0.002	0.001
CPI-SS08376F0E6	CSF3_CSF3R	simple:P09919	simple:Q99062	ENSG00000108342	ENSG00000119535	True	False	True	curated	False	0.006	0.005	0.003	0.021	0.244	0.273	0.009	0.008	0.006	0.024	0.247	0.276	0.006	0.005	0.003	0.021	0.244	0.273	0.007	0.005	0.004	0.021	0.244	0.273	0.007	0.005	0.004	0.021	0.244	0.273	0.006	0.005	0.003	0.021	0.244	0.273
CPI-SC0FC822E8D	AR_Testosterone_byAKR1D1	simple:P10275	complex:Testosterone_byAKR1D1	ENSG00000169083		True	True	False	curated	False	0.072	0.072	0.072	0.072	0.072	0.072	0.039	0.04	0.039	0.04	0.039	0.039	0.048	0.049	0.048	0.049	0.048	0.048	0.031	0.031	0.031	0.031	0.031	0.031	0.004	0.004	0.004	0.004	0.004	0.004	0.003	0.003	0.003	0.003	0.003	0.003
CPI-SC09F8C9859	AR_Testosterone_byHSD17B12	simple:P10275	complex:Testosterone_byHSD17B12	ENSG00000169083		True	True	False	curated	False	0.399	0.327	0.265	0.312	0.23	0.225	0.366	0.295	0.232	0.279	0.197	0.192	0.375	0.303	0.241	0.288	0.206	0.201	0.358	0.286	0.224	0.271	0.189	0.184	0.331	0.259	0.197	0.243	0.162	0.157	0.33	0.258	0.196	0.243	0.161	0.156
CPI-SC0F0F8F51F	AR_Testosterone_byHSD17B3	simple:P10275	complex:Testosterone_byHSD17B3	ENSG00000169083		True	True	False	curated	False	0.075	0.074	0.072	0.074	0.073	0.072	0.042	0.041	0.04	0.041	0.04	0.04	0.051	0.05	0.049	0.05	0.049	0.048	0.033	0.033	0.031	0.033	0.031	0.031	0.006	0.005	0.004	0.006	0.004	0.004	0.005	0.005	0.003	0.005	0.003	0.003
CPI-SS02D7A1DDE	KIT_KITLG	simple:P10721	simple:P21583	ENSG00000157404	ENSG00000049130	True	True	False	curated	False	0.023	0.028	0.018	0.023	0.005	0.003	0.022	0.027	0.016	0.021	0.004	0.002	0.033	0.039	0.028	0.033	0.016	0.014	0.028	0.034	0.023	0.028	0.011	0.009	0.023	0.028	0.018	0.023	0.006	0.003	0.02	0.026	0.015	0.02	0.003	0.001
CPI-SS0EDAE16B6	EPOR_KITLG	simple:P19235	simple:P21583	ENSG00000187266	ENSG00000049130	True	True	False	I2D	False	0.036	0.042	0.031	0.036	0.019	0.017	0.039	0.045	0.034	0.039	0.022	0.02	0.038	0.044	0.033	0.038	0.021	0.019	0.036	0.042	0.031	0.036	0.019	0.017	0.049	0.054	0.043	0.048	0.031	0.029	0.05	0.056	0.045	0.05	0.033	0.031
CPI-SS07327E587	CD28_CD80	simple:P10747	simple:P33681	ENSG00000178562	ENSG00000121594	False	False	True	curated	False	0.001	0.001	0.0	0.001	0.018	0.016	0.001	0.001	0.0	0.001	0.018	0.016	0.0	0.0	0.0	0.001	0.018	0.016	0.002	0.002	0.001	0.002	0.019	0.017	0.009	0.009	0.009	0.009	0.026	0.024	0.003	0.003	0.003	0.003	0.02	0.018
CPI-SS0320FFAFC	CTLA4_CD80	simple:P16410	simple:P33681	ENSG00000163599	ENSG00000121594	False	False	True	curated	False	0.001	0.001	0.001	0.002	0.018	0.017	0.0	0.0	0.0	0.001	0.018	0.016	0.0	0.0	0.0	0.001	0.018	0.016	0.005	0.005	0.005	0.005	0.022	0.02	0.011	0.011	0.011	0.012	0.028	0.027	0.003	0.003	0.003	0.004	0.021	0.019
CPI-SS077D7365D	CD28_CD86	simple:P10747	simple:P42081	ENSG00000178562	ENSG00000114013	False	False	True	curated	False	0.008	0.005	0.005	0.033	0.374	0.372	0.008	0.004	0.005	0.033	0.374	0.372	0.008	0.004	0.004	0.033	0.374	0.372	0.009	0.006	0.006	0.034	0.375	0.373	0.016	0.013	0.013	0.042	0.382	0.38	0.011	0.007	0.007	0.036	0.377	0.374
CPI-SS0B0E09B1C	CTLA4_CD86	simple:P16410	simple:P42081	ENSG00000163599	ENSG00000114013	False	False	True	curated	False	0.009	0.005	0.005	0.034	0.375	0.373	0.008	0.004	0.004	0.033	0.374	0.372	0.008	0.004	0.004	0.033	0.374	0.372	0.013	0.009	0.009	0.038	0.379	0.376	0.019	0.015	0.015	0.044	0.385	0.383	0.011	0.007	0.007	0.036	0.377	0.375
CPI-SS03EF699C7	HLA-E_KLRC1	simple:P13747	simple:P26715	ENSG00000204592	ENSG00000134545	False	False	True	curated	False	0.377	0.378	0.385	0.383	0.379	0.378	0.366	0.367	0.374	0.372	0.368	0.367	0.079	0.08	0.087	0.085	0.081	0.08	0.231	0.232	0.239	0.237	0.233	0.232	0.983	0.984	0.991	0.988	0.985	0.983	1.121	1.122	1.129	1.126	1.123	1.122
CPI-SS0C4FA643F	HLA-E_KLRC2	simple:P13747	simple:P26717	ENSG00000204592	ENSG00000205809	False	False	True	curated	False	0.389	0.384	0.604	0.474	0.378	0.378	0.378	0.373	0.593	0.463	0.368	0.367	0.091	0.085	0.306	0.176	0.08	0.08	0.243	0.238	0.458	0.328	0.232	0.232	0.995	0.989	1.209	1.08	0.984	0.984	1.133	1.127	1.348	1.218	1.122	1.122
CPI-SS03339363E	HLA-E_KLRK1	simple:P13747	simple:P26718	ENSG00000204592	ENSG00000213809	False	False	True	curated	False	0.377	0.377	0.378	0.379	0.377	0.377	0.366	0.366	0.367	0.368	0.366	0.366	0.079	0.079	0.08	0.081	0.079	0.079	0.231	0.231	0.232	0.233	0.231	0.231	0.983	0.983	0.983	0.984	0.983	0.983	1.121	1.121	1.122	1.122	1.121	1.121
CPI-SS0EB5AEC83	SELL_CD34	simple:P14151	simple:P28906	ENSG00000188404	ENSG00000174059	False	False	False	curated	False	0.009	0.009	0.004	0.008	0.007	0.003	0.008	0.009	0.004	0.008	0.007	0.002	0.008	0.008	0.003	0.007	0.007	0.002	0.017	0.017	0.012	0.016	0.016	0.011	0.073	0.074	0.069	0.073	0.072	0.067	0.094	0.095	0.09	0.094	0.093	0.088
CPI-SS087321EB5	SELL_SELPLG	simple:P14151	simple:Q14242	ENSG00000188404	ENSG00000110876	False	False	True	curated	False	0.006	0.007	0.009	0.013	0.167	0.208	0.006	0.007	0.009	0.013	0.167	0.208	0.005	0.006	0.008	0.012	0.167	0.207	0.014	0.015	0.017	0.021	0.175	0.216	0.07	0.071	0.073	0.078	0.232	0.273	0.092	0.093	0.095	0.099	0.253	0.294
CPI-SS0D8CC2248	SELL_PODXL2	simple:P14151	simple:Q9NZ53	ENSG00000188404	ENSG00000114631	False	False	False	curated	False	0.21	0.093	0.368	0.302	0.009	0.01	0.21	0.093	0.368	0.302	0.008	0.01	0.209	0.092	0.367	0.301	0.008	0.009	0.218	0.101	0.376	0.31	0.017	0.018	0.274	0.158	0.432	0.366	0.073	0.074	0.296	0.179	0.454	0.388	0.094	0.096
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	ENSG00000002586	ENSG00000085514	True	False	True	curated	False	0.771	0.772	0.773	0.774	1.006	1.035	0.915	0.917	0.918	0.918	1.151	1.18	0.26	0.262	0.262	0.263	0.495	0.524	0.495	0.497	0.497	0.498	0.73	0.76	0.493	0.495	0.496	0.497	0.729	0.758	0.449	0.451	0.451	0.452	0.684	0.713
CPI-SS08E6EA18C	NPR1_NPPB	simple:P16066	simple:P16860	ENSG00000169418	ENSG00000120937	True	True	False	guidetopharmacology.org	False	0.003	0.009	0.002	0.002	0.002	0.002	0.002	0.008	0.001	0.001	0.001	0.001	0.003	0.009	0.003	0.003	0.002	0.002	0.003	0.009	0.002	0.002	0.002	0.002	0.001	0.007	0.001	0.0	0.0	0.0	0.001	0.007	0.0	0.0	0.0	0.0
CPI-SS0A1864A37	NPR1_NPPC	simple:P16066	simple:P23582	ENSG00000169418	ENSG00000163273	True	True	False	InnateDB-All	False	0.014	0.034	0.021	0.007	0.002	0.002	0.012	0.033	0.02	0.006	0.001	0.001	0.014	0.034	0.022	0.007	0.003	0.002	0.013	0.033	0.021	0.007	0.002	0.002	0.012	0.032	0.02	0.005	0.0	0.0	0.012	0.032	0.019	0.005	0.0	0.0
CPI-SS0EB4002A2	NPR3_NPPC	simple:P17342	simple:P23582	ENSG00000113389	ENSG00000163273	True	True	False	I2D,InnateDB-All	False	0.012	0.033	0.02	0.006	0.001	0.001	0.015	0.035	0.023	0.009	0.004	0.004	0.014	0.034	0.022	0.008	0.003	0.003	0.018	0.039	0.026	0.012	0.007	0.007	0.012	0.032	0.02	0.005	0.001	0.0	0.012	0.032	0.02	0.005	0.0	0.0
CPI-SS06B94F144	NPR2_NPPC	simple:P20594	simple:P23582	ENSG00000159899	ENSG00000163273	True	True	False	guidetopharmacology.org	False	0.027	0.047	0.035	0.02	0.016	0.015	0.028	0.049	0.036	0.022	0.017	0.017	0.028	0.048	0.036	0.021	0.017	0.016	0.031	0.052	0.039	0.025	0.02	0.02	0.013	0.033	0.021	0.006	0.002	0.002	0.012	0.032	0.02	0.006	0.001	0.001
CPI-SS02A170A99	SPN_SIGLEC1	simple:P16150	simple:Q9BZZ2	ENSG00000197471	ENSG00000088827	True	False	False	curated	False	0.004	0.004	0.004	0.011	0.08	0.049	0.003	0.002	0.002	0.01	0.079	0.048	0.006	0.005	0.005	0.012	0.082	0.051	0.009	0.008	0.008	0.015	0.085	0.054	0.064	0.063	0.063	0.07	0.139	0.108	0.066	0.066	0.066	0.073	0.142	0.111
CPI-SS03CC15FF3	PDGFRA_PDGFC	simple:P16234	simple:Q9NRA1	ENSG00000134853	ENSG00000145431	True	True	False	curated	False	0.326	0.326	0.28	0.295	0.25	0.243	0.192	0.193	0.146	0.161	0.117	0.109	0.489	0.49	0.444	0.458	0.414	0.406	0.506	0.507	0.46	0.475	0.431	0.423	0.12	0.121	0.074	0.089	0.045	0.037	0.114	0.115	0.068	0.083	0.039	0.031
CPI-SS03A3EE72E	FLT4_PDGFC	simple:P35916	simple:Q9NRA1	ENSG00000037280	ENSG00000145431	True	True	False	guidetopharmacology.org	False	0.106	0.107	0.06	0.075	0.031	0.023	0.106	0.107	0.06	0.075	0.031	0.023	0.106	0.107	0.06	0.075	0.031	0.023	0.106	0.107	0.06	0.075	0.031	0.023	0.106	0.107	0.061	0.075	0.031	0.023	0.106	0.107	0.06	0.075	0.031	0.023
CPI-SS0F972435E	FLT4_VEGFC	simple:P35916	simple:P49767	ENSG00000037280	ENSG00000150630	True	True	False	curated	False	0.0	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.001	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CPI-SS0273C9AED	KDR_VEGFC	simple:P35968	simple:P49767	ENSG00000128052	ENSG00000150630	True	True	False	curated	False	0.004	0.005	0.004	0.004	0.004	0.0	0.003	0.003	0.003	0.003	0.003	0.0	0.0	0.001	0.001	0.001	0.0	0.0	0.008	0.009	0.008	0.008	0.008	0.0	0.005	0.005	0.005	0.005	0.005	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CPI-SS0E0DEA7D5	PECAM1_CD38	simple:P16284	simple:P28907	ENSG00000261371	ENSG00000004468	False	True	True	curated	False	0.015	0.012	0.007	0.019	0.038	0.012	0.012	0.009	0.004	0.016	0.035	0.008	0.011	0.008	0.002	0.014	0.033	0.007	0.036	0.032	0.027	0.039	0.058	0.032	0.151	0.148	0.142	0.155	0.173	0.147	0.106	0.103	0.097	0.11	0.129	0.102
CPI-SS006EED1C5	CD36_THBS2	simple:P16671	simple:P35442	ENSG00000135218	ENSG00000186340	False	True	False	curated	False	0.07	0.055	0.042	0.051	0.009	0.003	0.069	0.055	0.041	0.05	0.008	0.003	0.068	0.054	0.04	0.049	0.008	0.002	0.078	0.063	0.05	0.059	0.017	0.011	0.107	0.092	0.079	0.088	0.046	0.04	0.083	0.069	0.055	0.064	0.022	0.017
CPI-SS076940BCD	LGALS3_MERTK	simple:P17931	simple:Q12866	ENSG00000131981	ENSG00000153208	True	False	True	curated	False	0.646	0.636	0.632	0.665	0.819	0.814	1.181	1.171	1.166	1.199	1.354	1.348	0.188	0.177	0.173	0.206	0.36	0.355	0.321	0.311	0.307	0.34	0.494	0.489	0.405	0.395	0.391	0.424	0.578	0.573	0.149	0.139	0.135	0.167	0.322	0.316
